city,time,wea,tem,wind,wind_level
香港,周四（12日）,雷阵雨转雨,31℃/27℃,无持续风向转东风,<3级
香港,周五（13日）,雨,31℃/27℃,北风转西北风,<3级
香港,周六（14日）,雨,31℃/27℃,西北风转东北风,<3级
香港,周日（15日）,雨,30℃/28℃,西北风转南风,<3级转4-5级
香港,周一（16日）,雨,28℃/26℃,东风,3-4级转<3级
香港,周二（17日）,雨,29℃/27℃,东北风转东风,<3级
香港,周三（18日）,雨,30℃/27℃,东风,<3级转3-4级
香港,周四（19日）,雨,30℃/27℃,北风转西风,3-4级转4-5级
福州,周四（12日）,阴转雨,33℃/24℃,东风转东北风,<3级
福州,周五（13日）,雨转多云,33℃/24℃,东北风转北风,3-4级
福州,周六（14日）,阴,33℃/24℃,东北风转东风,4-5级转3-4级
福州,周日（15日）,雨,32℃/25℃,东北风,<3级转3-4级
福州,周一（16日）,雨,30℃/25℃,东北风转北风,<3级
福州,周二（17日）,雨,32℃/25℃,东北风,<3级
福州,周三（18日）,雨转阴,30℃/24℃,北风转东北风,3-4级转4-5级
福州,周四（19日）,雨,29℃/24℃,东北风转东风,5-6级转4-5级
杭州,周四（12日）,多云,33℃/24℃,无持续风向转北风,<3级
杭州,周五（13日）,雨转多云,33℃/24℃,东风转东北风,<3级
杭州,周六（14日）,多云转雨,33℃/24℃,东风转北风,<3级
杭州,周日（15日）,雨,32℃/25℃,东北风,<3级
杭州,周一（16日）,雨,31℃/24℃,东北风转北风,<3级
杭州,周二（17日）,雨,29℃/22℃,东北风,<3级
杭州,周三（18日）,雨转阴,29℃/21℃,东北风,3-4级转<3级
杭州,周四（19日）,雨,31℃/22℃,东风转北风,3-4级转<3级
银川,周四（12日）,多云转雨,26℃/14℃,无持续风向转南风,<3级
银川,周五（13日）,雨,19℃/13℃,西北风转北风,3-4级转<3级
银川,周六（14日）,雨转阴,18℃/12℃,东北风,<3级
银川,周日（15日）,雨转多云,19℃/12℃,东南风,3-4级
银川,周一（16日）,阴,18℃/13℃,东南风,4-5级转3-4级
银川,周二（17日）,雨,20℃/13℃,南风转西风,3-4级转<3级
银川,周三（18日）,雨转阴,16℃/11℃,西风,<3级
银川,周四（19日）,阴转多云,16℃/11℃,北风转东北风,<3级
太原,周四（12日）,多云转雨,26℃/14℃,东南风转南风,<3级
太原,周五（13日）,雨,27℃/17℃,西南风转北风,<3级
太原,周六（14日）,雨,22℃/14℃,东风,<3级
太原,周日（15日）,雨,21℃/13℃,东南风转东风,<3级
太原,周一（16日）,雨转阴,22℃/13℃,东南风转东风,<3级
太原,周二（17日）,阴转雨,25℃/14℃,东风转东南风,<3级
太原,周三（18日）,雨,24℃/14℃,南风,<3级
太原,周四（19日）,雨转阴,25℃/14℃,西南风转北风,<3级
济南,周四（12日）,晴,30℃/15℃,北风转南风,<3级
济南,周五（13日）,晴转阴,31℃/19℃,南风,<3级
济南,周六（14日）,雨,28℃/18℃,东北风,<3级
济南,周日（15日）,雨转多云,24℃/16℃,东北风,3-4级转<3级
济南,周一（16日）,多云转阴,27℃/15℃,东风,3-4级转<3级
济南,周二（17日）,多云,27℃/15℃,东北风转东风,<3级
济南,周三（18日）,多云,25℃/16℃,东风转南风,<3级
济南,周四（19日）,多云转阴,26℃/16℃,南风转东南风,<3级
南京,周四（12日）,晴,27℃/21℃,东风转东北风,<3级
南京,周五（13日）,多云,31℃/23℃,东北风转东风,<3级
南京,周六（14日）,多云转晴,32℃/23℃,东风转东北风,3-4级转<3级
南京,周日（15日）,雨转多云,32℃/24℃,东北风,3-4级
南京,周一（16日）,雨转多云,30℃/21℃,东北风,3-4级转<3级
南京,周二（17日）,多云转晴,30℃/20℃,东风转东北风,3-4级
南京,周三（18日）,多云,29℃/20℃,东风,3-4级转<3级
南京,周四（19日）,雨转多云,30℃/22℃,东风,3-4级
合肥,周四（12日）,小雨转晴,29℃/21℃,东风,<3级
合肥,周五（13日）,多云转晴,31℃/22℃,东风,<3级
合肥,周六（14日）,多云,32℃/23℃,东风转东北风,3-4级
合肥,周日（15日）,雨转多云,30℃/23℃,东北风,3-4级
合肥,周一（16日）,雨转多云,29℃/21℃,东北风,3-4级转<3级
合肥,周二（17日）,多云转晴,30℃/20℃,东北风,<3级转3-4级
合肥,周三（18日）,晴转多云,29℃/20℃,东风转东北风,3-4级转<3级
合肥,周四（19日）,多云,27℃/21℃,东风,3-4级转<3级
南昌,周四（12日）,多云转晴,34℃/25℃,北风转东北风,3-4级转<3级
南昌,周五（13日）,晴,35℃/25℃,东北风转北风,<3级
南昌,周六（14日）,多云转晴,36℃/27℃,东北风转北风,3-4级转<3级
南昌,周日（15日）,多云转雨,35℃/26℃,北风,3-4级
南昌,周一（16日）,雨,34℃/26℃,北风,3-4级转<3级
南昌,周二（17日）,雨,33℃/24℃,东北风转北风,<3级
南昌,周三（18日）,雨转晴,31℃/24℃,东北风转北风,3-4级转<3级
南昌,周四（19日）,晴转多云,32℃/25℃,东北风,3-4级
长沙,周四（12日）,多云,34℃/23℃,东北风转北风,<3级
长沙,周五（13日）,多云转晴,35℃/24℃,北风转西北风,<3级
长沙,周六（14日）,晴,36℃/26℃,北风,<3级
长沙,周日（15日）,多云转阴,36℃/25℃,北风,3-4级转<3级
长沙,周一（16日）,多云转阴,35℃/24℃,北风,3-4级转<3级
长沙,周二（17日）,雨,32℃/23℃,北风,<3级
长沙,周三（18日）,雨,30℃/23℃,东北风,<3级
长沙,周四（19日）,多云,33℃/25℃,东北风转北风,<3级
武汉,周四（12日）,晴,33℃/23℃,东风转东北风,3-4级转<3级
武汉,周五（13日）,晴,34℃/24℃,东南风,<3级
武汉,周六（14日）,晴转多云,35℃/26℃,北风转东北风,<3级
武汉,周日（15日）,雨转晴,35℃/25℃,东北风转北风,3-4级
武汉,周一（16日）,多云,33℃/24℃,北风,<3级
武汉,周二（17日）,多云转雨,34℃/24℃,东北风,<3级
武汉,周三（18日）,雨,31℃/24℃,东北风,<3级
武汉,周四（19日）,雨转多云,33℃/25℃,东北风转北风,<3级
广州,周四（12日）,雷阵雨转雨,34℃/25℃,无持续风向转北风,<3级
广州,周五（13日）,雨,33℃/25℃,北风转西北风,<3级
广州,周六（14日）,雨,34℃/25℃,北风转西北风,<3级
广州,周日（15日）,阴转雨,33℃/26℃,西北风转东南风,<3级
广州,周一（16日）,雨,29℃/23℃,东南风转东北风,<3级
广州,周二（17日）,雨,30℃/25℃,北风转东北风,<3级
广州,周三（18日）,雨,33℃/25℃,北风转东风,<3级
广州,周四（19日）,雨,33℃/25℃,北风转西北风,3-4级转<3级
南宁,周四（12日）,小雨转雨,31℃/22℃,南风转北风,<3级
南宁,周五（13日）,雨,31℃/23℃,北风转西北风,<3级
南宁,周六（14日）,雨转多云,32℃/24℃,北风转西北风,<3级
南宁,周日（15日）,雨,34℃/24℃,北风转西北风,<3级
南宁,周一（16日）,雨,31℃/23℃,南风转东南风,<3级
南宁,周二（17日）,雨,25℃/22℃,东风转西北风,<3级
南宁,周三（18日）,雨,28℃/22℃,西北风,<3级
南宁,周四（19日）,雨,31℃/24℃,北风转西北风,<3级
贵阳,周四（12日）,多云转雨,29℃/18℃,南风,<3级
贵阳,周五（13日）,雨转阴,30℃/18℃,南风,<3级
贵阳,周六（14日）,雨转阴,31℃/18℃,南风,<3级
贵阳,周日（15日）,雨,31℃/19℃,东北风转北风,<3级
贵阳,周一（16日）,雨,29℃/19℃,北风转东北风,<3级
贵阳,周二（17日）,雨,29℃/17℃,东南风转东北风,<3级
贵阳,周三（18日）,雨,29℃/17℃,东北风,<3级
贵阳,周四（19日）,雨,29℃/19℃,东北风转北风,<3级
昆明,周四（12日）,多云转雨,25℃/16℃,无持续风向转东南风,<3级
昆明,周五（13日）,雨,26℃/16℃,南风转东南风,<3级
昆明,周六（14日）,雨,27℃/16℃,南风转东风,<3级
昆明,周日（15日）,雨,28℃/15℃,东风转东北风,<3级
昆明,周一（16日）,雨,28℃/17℃,东北风,<3级
昆明,周二（17日）,雨,25℃/16℃,东北风转东风,<3级
昆明,周三（18日）,雨,26℃/15℃,东南风转东风,<3级
昆明,周四（19日）,雨,28℃/17℃,东南风转东北风,<3级
成都,周四（12日）,小雨转雨,24℃/21℃,无持续风向转东北风,<3级
成都,周五（13日）,雨,27℃/21℃,北风,<3级
成都,周六（14日）,雨,28℃/22℃,北风,<3级
成都,周日（15日）,雨,29℃/22℃,北风转西北风,<3级
成都,周一（16日）,雨,31℃/22℃,东北风,<3级
成都,周二（17日）,雨,29℃/23℃,北风转东北风,<3级
成都,周三（18日）,雨,30℃/23℃,东北风,<3级
成都,周四（19日）,雨,27℃/21℃,东北风转西北风,<3级
拉萨,周四（12日）,小雨转雨,24℃/12℃,无持续风向转东南风,<3级
拉萨,周五（13日）,雨,21℃/11℃,南风,<3级
拉萨,周六（14日）,雨,23℃/11℃,南风,<3级
拉萨,周日（15日）,雨,24℃/11℃,南风,<3级
拉萨,周一（16日）,雨,22℃/10℃,南风,<3级
拉萨,周二（17日）,雨,23℃/11℃,南风,<3级
拉萨,周三（18日）,雨,23℃/10℃,南风,<3级
拉萨,周四（19日）,雨,23℃/11℃,南风,<3级
西宁,周四（12日）,阴转雨,19℃/11℃,东南风,<3级
西宁,周五（13日）,雨,17℃/8℃,东风,<3级
西宁,周六（14日）,雨,16℃/8℃,东风转南风,<3级
西宁,周日（15日）,雨转阴,21℃/10℃,东南风,<3级
西宁,周一（16日）,雨,23℃/11℃,东风,<3级
西宁,周二（17日）,雨,20℃/11℃,东风,<3级
西宁,周三（18日）,雨,18℃/8℃,东风转东北风,<3级
西宁,周四（19日）,雨,17℃/8℃,东北风转东风,<3级
乌鲁木齐,周四（12日）,小雨转晴,17℃/9℃,西北风转南风,4-5级转<3级
乌鲁木齐,周五（13日）,阴转多云,20℃/9℃,北风转南风,<3级
乌鲁木齐,周六（14日）,阴,20℃/9℃,北风,<3级
乌鲁木齐,周日（15日）,多云转阴,23℃/12℃,东北风转西风,<3级
乌鲁木齐,周一（16日）,多云转阴,21℃/12℃,西北风转西风,<3级
乌鲁木齐,周二（17日）,多云转阴,20℃/12℃,西北风转西风,<3级
乌鲁木齐,周三（18日）,雨,20℃/12℃,东北风转西南风,<3级
乌鲁木齐,周四（19日）,多云,19℃/11℃,东北风转西南风,<3级
西安,周四（12日）,多云转阴,23℃/9℃,东北风转西南风,<3级
西安,周五（13日）,阴转雨,24℃/13℃,南风转西南风,<3级
西安,周六（14日）,雨转晴,19℃/5℃,西风,3-4级转<3级
西安,周日（15日）,雨转晴,21℃/5℃,西风转西南风,<3级
西安,周一（16日）,晴转雨,20℃/5℃,西南风转南风,<3级
西安,周二（17日）,雨转阴,18℃/3℃,西南风转南风,<3级
西安,周三（18日）,雨转多云,16℃/5℃,东北风转南风,<3级
西安,周四（19日）,雨转阴,17℃/6℃,西风转西北风,<3级
郑州,周四（12日）,阴,28℃/17℃,东北风,3-4级转<3级
郑州,周五（13日）,晴,33℃/21℃,南风,<3级
郑州,周六（14日）,雨,34℃/19℃,东北风,<3级转3-4级
郑州,周日（15日）,多云转雨,30℃/19℃,东北风,3-4级转<3级
郑州,周一（16日）,多云,30℃/19℃,东风,3-4级转<3级
郑州,周二（17日）,多云转晴,32℃/19℃,东风转东北风,<3级
郑州,周三（18日）,多云转雨,29℃/17℃,东北风转东南风,<3级
郑州,周四（19日）,雨转阴,24℃/17℃,东南风转东北风,<3级
呼和浩特,周四（12日）,小雨转雨,20℃/12℃,无持续风向转西南风,<3级
呼和浩特,周五（13日）,雨转阴,18℃/9℃,北风,<3级
呼和浩特,周六（14日）,阴,19℃/10℃,东北风,<3级
呼和浩特,周日（15日）,雨转多云,19℃/10℃,南风,<3级
呼和浩特,周一（16日）,雨,19℃/10℃,东南风,3-4级转<3级
呼和浩特,周二（17日）,阴,17℃/10℃,南风,3-4级转<3级
呼和浩特,周三（18日）,雨,15℃/10℃,南风转北风,<3级
呼和浩特,周四（19日）,雨,17℃/9℃,东北风,3-4级转<3级
石家庄,周四（12日）,小雨转雨,22℃/17℃,北风转西南风,<3级
石家庄,周五（13日）,多云转雨,32℃/20℃,南风转北风,<3级
石家庄,周六（14日）,雨转阴,27℃/17℃,东北风转北风,<3级
石家庄,周日（15日）,雨转晴,23℃/15℃,东风,<3级
石家庄,周一（16日）,阴转多云,28℃/15℃,东风转东北风,<3级
石家庄,周二（17日）,多云,28℃/14℃,东风,<3级
石家庄,周三（18日）,雨转多云,25℃/17℃,南风,<3级
石家庄,周四（19日）,阴,32℃/14℃,南风转东北风,<3级
沈阳,周四（12日）,多云转雨,25℃/15℃,西南风转南风,3-4级转<3级
沈阳,周五（13日）,雨,26℃/15℃,南风转北风,<3级
沈阳,周六（14日）,雨转阴,21℃/10℃,北风转东北风,3-4级转<3级
沈阳,周日（15日）,多云,23℃/8℃,东北风,3-4级转<3级
沈阳,周一（16日）,多云转雨,23℃/9℃,东风转北风,<3级
沈阳,周二（17日）,阴转多云,20℃/7℃,东北风转东南风,<3级
沈阳,周三（18日）,多云转阴,20℃/11℃,南风,3-4级转<3级
沈阳,周四（19日）,雨,22℃/10℃,西南风转北风,3-4级
长春,周四（12日）,多云转阴,23℃/12℃,南风,<3级
长春,周五（13日）,雨,24℃/13℃,西南风,3-4级转<3级
长春,周六（14日）,多云,19℃/6℃,西北风,<3级
长春,周日（15日）,晴转阴,21℃/8℃,西北风转南风,<3级
长春,周一（16日）,多云转雨,20℃/8℃,西南风转南风,3-4级
长春,周二（17日）,多云转阴,17℃/6℃,南风,<3级
长春,周三（18日）,阴,17℃/9℃,西南风转南风,<3级转3-4级
长春,周四（19日）,阴转雨,17℃/7℃,西北风转北风,<3级
哈尔滨,周四（12日）,晴转阴,23℃/10℃,南风,<3级
哈尔滨,周五（13日）,雨,23℃/12℃,西南风转北风,<3级
哈尔滨,周六（14日）,多云转晴,17℃/6℃,西北风转西南风,<3级
哈尔滨,周日（15日）,雨转晴,19℃/6℃,西风转西南风,<3级
哈尔滨,周一（16日）,晴转雨,18℃/6℃,西风转南风,<3级转3-4级
哈尔滨,周二（17日）,阴,16℃/4℃,西南风转南风,<3级
哈尔滨,周三（18日）,雨转阴,12℃/7℃,东风,<3级
哈尔滨,周四（19日）,雨转阴,14℃/4℃,西北风,<3级
重庆,周四（12日）,多云,37℃/25℃,无持续风向转东风,<3级
重庆,周五（13日）,晴,38℃/25℃,东南风转东风,<3级
重庆,周六（14日）,晴,38℃/26℃,东北风转东南风,<3级
重庆,周日（15日）,雨,39℃/26℃,北风转南风,<3级
重庆,周一（16日）,雨,39℃/27℃,东北风转东南风,<3级
重庆,周二（17日）,雨,38℃/26℃,东南风,<3级
重庆,周三（18日）,雨转晴,39℃/26℃,东南风,<3级
重庆,周四（19日）,雨,39℃/27℃,东北风转西北风,<3级
上海,周四（12日）,多云转晴,30℃/23℃,北风转西北风,<3级
上海,周五（13日）,雨转多云,31℃/24℃,东风转东北风,3-4级转<3级
上海,周六（14日）,雨转多云,31℃/25℃,东风转东北风,3-4级转<3级
上海,周日（15日）,雨,30℃/25℃,东北风,3-4级
上海,周一（16日）,雨,29℃/25℃,东北风,3-4级
上海,周二（17日）,雨,28℃/23℃,东北风,3-4级
上海,周三（18日）,多云,27℃/22℃,东北风转东风,4-5级
上海,周四（19日）,雨,28℃/24℃,东风转北风,3-4级
天津,周四（12日）,阴转多云,28℃/18℃,东南风转南风,<3级
天津,周五（13日）,阴转雨,31℃/21℃,西南风,<3级
天津,周六（14日）,雨转阴,26℃/18℃,东风转北风,4-5级转<3级
天津,周日（15日）,多云转阴,25℃/16℃,东南风转东北风,<3级
天津,周一（16日）,多云转阴,27℃/17℃,东南风转东北风,<3级
天津,周二（17日）,多云,25℃/16℃,东南风,<3级
天津,周三（18日）,多云转阴,26℃/19℃,南风,<3级
天津,周四（19日）,阴,29℃/16℃,南风转东北风,3-4级转5-6级
北京,周四（12日）,多云转阴,27℃/16℃,东北风转西风,<3级
北京,周五（13日）,雨,29℃/19℃,西南风转北风,<3级
北京,周六（14日）,阴,28℃/16℃,东风转北风,<3级
北京,周日（15日）,雨转多云,27℃/13℃,南风转东风,<3级
北京,周一（16日）,雨转阴,29℃/14℃,南风转东北风,<3级
北京,周二（17日）,雨转多云,27℃/13℃,东南风,<3级
北京,周三（18日）,多云转雨,27℃/16℃,南风,<3级
北京,周四（19日）,雨转阴,29℃/13℃,南风转东北风,<3级转3-4级
