和风天气海外热门城市列表 v1.2
城市ID	大洲	国家中文	国家英文	城市中文	城市英文	纬度	经度
AF1944015	亚洲	阿富汗	Afghanistan	扎兰季	Zaranj	31	61.8
AM616052	亚洲	亚美尼亚	Armenia	埃里温	Yerevan	40.18111	44.51361
AM738801	亚洲	亚美尼亚	Armenia	阿马西亚	Amasia	41	43.8
AM738802	亚洲	亚美尼亚	Armenia	安伯	Amberd	40.4	44.2
AM174991	亚洲	亚美尼亚	Armenia	阿勒山	Ararat	39.83166	44.70489
AM738803	亚洲	亚美尼亚	Armenia	阿雷尼	Areni	39.7	45
AM616631	亚洲	亚美尼亚	Armenia	阿尔马维尔	Armavir	40.15446	44.03815
AM174979	亚洲	亚美尼亚	Armenia	阿塔沙特	Artashat	39.96144	44.54447
AM616877	亚洲	亚美尼亚	Armenia	阿什塔拉克	Ashtarak	40.2991	44.36204
AM738807	亚洲	亚美尼亚	Armenia	绍尔哈	Shorja	40.5	45.3
AM738804	亚洲	亚美尼亚	Armenia	法坦	Fantan	40.4	44.7
AM616530	亚洲	亚美尼亚	Armenia	瓦纳佐尔	Vanadzor	40.80456	44.4939
AM738805	亚洲	亚美尼亚	Armenia	嘉瓦	Gavar	40.3	45.1
AM616635	亚洲	亚美尼亚	Armenia	久姆里	Gyumri	40.7942	43.84528
AM738806	亚洲	亚美尼亚	Armenia	伊杰万	Idjevan	40.9	45.2
AZ148619	亚洲	阿塞拜疆	Azerbaijan	阿格达姆	Agdam	39.99096	46.92736
AZ148445	亚洲	阿塞拜疆	Azerbaijan	阿斯塔拉	Astara	38.45598	48.87498
AZ587084	亚洲	阿塞拜疆	Azerbaijan	巴库	Baku	40.37767	49.89201
AZ587057	亚洲	阿塞拜疆	Azerbaijan	巴尔达	Barda	40.37444	47.12667
AZ4377001	亚洲	阿塞拜疆	Azerbaijan	比利亚苏瓦尔	Bilasuvar	39.3	49.5
AZ4377002	亚洲	阿塞拜疆	Azerbaijan	达什卡桑	Dashkasan	40.5	46.1
AZ4377003	亚洲	阿塞拜疆	Azerbaijan	凯达贝克	Gadabay	40.6	45.8
AZ4377004	亚洲	阿塞拜疆	Azerbaijan	占贾	Gandja	40.7	46.4
AZ4377005	亚洲	阿塞拜疆	Azerbaijan	戈里斯	Goris	39.5	46.3
AZ4377006	亚洲	阿塞拜疆	Azerbaijan	盖奥克恰伊	Goychay	40.6	47.7
AZ4377007	亚洲	阿塞拜疆	Azerbaijan	古巴	Guba	41.3	48.5
AZ4377008	亚洲	阿塞拜疆	Azerbaijan	杰姆克	Jermuk	39.8	45.7
AZ4377009	亚洲	阿塞拜疆	Azerbaijan	丘尔达米尔	Kurdamir	40.3	48.1
AZ4377010	亚洲	阿塞拜疆	Azerbaijan	拉钦	Lachin	39.7	46.5
AZ4377011	亚洲	阿塞拜疆	Azerbaijan	连科兰	Lankaran	40.4	49.8
AZ147611	亚洲	阿塞拜疆	Azerbaijan	列里克	Lerik	38.77263	48.41279
AZ4377012	亚洲	阿塞拜疆	Azerbaijan	梅格里	Meghri	38.9	46.2
AZ4377013	亚洲	阿塞拜疆	Azerbaijan	明盖恰乌尔	Mingachevir	40.7	47
AZ4377014	亚洲	阿塞拜疆	Azerbaijan	纳布兰	Nabran	41.8	48.7
AZ4377015	亚洲	阿塞拜疆	Azerbaijan	纳希切万	Naxcivan	39.2	45.4
AZ4377016	亚洲	阿塞拜疆	Azerbaijan	涅夫捷恰拉	Neftchala	39.7	49.5
AZ585333	亚洲	阿塞拜疆	Azerbaijan	乌古斯	Oguz	41.07083	47.45833
AZ147368	亚洲	阿塞拜疆	Azerbaijan	奥尔杜巴德	Ordubad	38.90595	46.02341
AZ4377017	亚洲	阿塞拜疆	Azerbaijan	卡巴拉	Qabala	41	47.4
AZ585187	亚洲	阿塞拜疆	Azerbaijan	萨比拉巴德	Sabirabad	40.00946	48.47515
AZ147271	亚洲	阿塞拜疆	Azerbaijan	萨利亚纳	Salyan	39.59362	48.98055
AZ4377018	亚洲	阿塞拜疆	Azerbaijan	夏奇	Shaki	41.2	47.2
AZ4377019	亚洲	阿塞拜疆	Azerbaijan	沙姆基尔	Shamkir	40.8	46
AZ4377020	亚洲	阿塞拜疆	Azerbaijan	沙鲁尔	Sharur	39.5	45
AZ4377021	亚洲	阿塞拜疆	Azerbaijan	舒沙	Shusha	39.8	46.8
AZ4377022	亚洲	阿塞拜疆	Azerbaijan	苏姆盖特	Sumgait	40.5	49.6
AZ4377023	亚洲	阿塞拜疆	Azerbaijan	塔塔	Tar Tar	40.3	47
AZ584821	亚洲	阿塞拜疆	Azerbaijan	塔乌兹	Tovuz	40.99222	45.62889
AZ4377024	亚洲	阿塞拜疆	Azerbaijan	扎尔多布	Zardab	40.2	47.2
BH290340	亚洲	巴林	Bahrain	麦纳麦	Manama	26.21536	50.5832
BD1336137	亚洲	孟加拉	Bangladesh	博里萨尔	Barisal	22.70194	90.37111
BD1336136	亚洲	孟加拉	Bangladesh	波拉	Bhola	22.68333	90.65
BD1337233	亚洲	孟加拉	Bangladesh	博格拉	Bogra	24.85	89.36667
BD1466001	亚洲	孟加拉	Bangladesh	坚德布尔	Chandpur	23.3	90.7
BD1205733	亚洲	孟加拉	Bangladesh	吉大港	Chittagong	22.33306	91.83639
BD1466002	亚洲	孟加拉	Bangladesh	朱瓦当加	Chuadanga	23.6	88.8
BD1185186	亚洲	孟加拉	Bangladesh	窖米而纳	Comilla	23.45778	91.20444
BD1185241	亚洲	孟加拉	Bangladesh	达卡	Dhaka	23.7104	90.40744
BD1203891	亚洲	孟加拉	Bangladesh	迪纳杰布尔	Dinajpur	25.62715	88.63864
BD1203344	亚洲	孟加拉	Bangladesh	福里德布尔	Faridpur	23.6	89.83333
BD1185224	亚洲	孟加拉	Bangladesh	芬尼	Feni	23.01861	91.41
BD1466003	亚洲	孟加拉	Bangladesh	哈蒂亚	Hatia	22.4	91.1
BD1185106	亚洲	孟加拉	Bangladesh	杰马勒布尔	Jamalpur	24.91667	89.93333
BD1336140	亚洲	孟加拉	Bangladesh	杰索尔	Jessore	23.16869	89.21315
BD1336135	亚洲	孟加拉	Bangladesh	库尔纳	Khulna	22.81348	89.56723
BD1466004	亚洲	孟加拉	Bangladesh	库图布迪亚	Kutubdia	21.8	91.8
BD1337245	亚洲	孟加拉	Bangladesh	马达里布尔	Madaripur	23.17528	90.20722
BD1466005	亚洲	孟加拉	Bangladesh	勐腊	Mongla	22.6	89.5
BD1185162	亚洲	孟加拉	Bangladesh	迈门辛	Mymensingh	24.75	90.4
BD1466006	亚洲	孟加拉	Bangladesh	博杜阿卡利	Patuakhali	22.3	90.3
BD1185128	亚洲	孟加拉	Bangladesh	拉杰沙希	Rajshahi	24.36667	88.6
BD1466007	亚洲	孟加拉	Bangladesh	兰加马蒂	Rangamati	22.5	92.2
BD1185188	亚洲	孟加拉	Bangladesh	朗布尔	Rangpur	25.75	89.25
BD6545349	亚洲	孟加拉	Bangladesh	塞德普尔	Saidpur	25.77769	88.89169
BD1185120	亚洲	孟加拉	Bangladesh	松迪布	Sandwip	22.46778	91.45611
BD1185111	亚洲	孟加拉	Bangladesh	萨德基拉	Satkhira	22.71667	89.1
BD1466008	亚洲	孟加拉	Bangladesh	斯里曼高	Srimangal	24.3	91.7
BD1185099	亚洲	孟加拉	Bangladesh	锡尔赫特	Sylhet	24.89667	91.87167
BD1185095	亚洲	孟加拉	Bangladesh	代格纳夫	Teknaf	20.86243	92.30582
BN1820906	亚洲	文莱	Brunei	斯里巴加湾市	Bandar Seri Begawan	4.94029	114.94806
KH1830377	亚洲	柬埔寨	Cambodia	隆发	Lumphat	13.48784	106.98158
KH1831142	亚洲	柬埔寨	Cambodia	西哈努克港	Sihanoukville	10.60932	103.52958
KH1821306	亚洲	柬埔寨	Cambodia	金边	Phnom Penh	11.56245	104.91601
KH1765002	亚洲	柬埔寨	Cambodia	马德望	Battambang	13.1	103.2
KH1765005	亚洲	柬埔寨	Cambodia	暹粒	Siemreap	13.4	103.8
KH1765006	亚洲	柬埔寨	Cambodia	上丁省	Stungtreng	13.5	106
KH1765007	亚洲	柬埔寨	Cambodia	柴桢	Svayrieng	11.1	105.8
KH1831112	亚洲	柬埔寨	Cambodia	贡布	Kampot	10.61667	104.18333
KH1765003	亚洲	柬埔寨	Cambodia	磅湛	Kompong Cham	12	105.4
KH1765004	亚洲	柬埔寨	Cambodia	格罗戈	Krakor	12.5	104.2
CY146268	亚洲	塞浦路斯	Cyprus	尼科西亚	Nicosia	35.16667	33.36667
CY146400	亚洲	塞浦路斯	Cyprus	拉纳卡	Larnaca	34.91667	33.62917
GE612366	亚洲	格鲁吉亚	Georgia	波蒂	Poti	42.14616	41.67197
GE611717	亚洲	格鲁吉亚	Georgia	第比利斯	Tbilisi	41.69411	44.83368
GE615860	亚洲	格鲁吉亚	Georgia	阿卡尔特西卡	Akhaltsikhe	41.63901	42.98262
GE615532	亚洲	格鲁吉亚	Georgia	巴统	Batumi	41.64159	41.63593
GE615419	亚洲	格鲁吉亚	Georgia	伯尔尼西	Bolnisi	41.44794	44.53838
GE669901	亚洲	格鲁吉亚	Georgia	杰尔宾特	Derbent	42.1	48.3
GE669902	亚洲	格鲁吉亚	Georgia	塔希尔	Tashir	41.1	44.3
GE611694	亚洲	格鲁吉亚	Georgia	泰拉维	Telavi	41.91978	45.47315
GE614455	亚洲	格鲁吉亚	Georgia	哥里市	Gori	41.98422	44.11578
GE610824	亚洲	格鲁吉亚	Georgia	祖格迪迪	Zugdidi	42.5088	41.87088
GE613607	亚洲	格鲁吉亚	Georgia	库塔伊西	Kutaisi	42.24961	42.69974
BT1252416	亚洲	不丹	Bhutan	廷布	Thimphu	27.46609	89.64191
IN1273294	亚洲	印度	India	德里	Delhi	28.666668	77.21667
IN1262180	亚洲	印度	India	那格浦尔	Nagpur	21.15	79.1
IN1264527	亚洲	印度	India	金奈	Chennai	13.08784	80.27847
IN1269515	亚洲	印度	India	斋浦尔	Jaipur	26.916668	75.816666
IN1269771	亚洲	印度	India	英帕尔	Imphal	24.81667	93.95
IN1269843	亚洲	印度	India	海德拉巴	Hyderabad	17.37528	78.47444
IN1275004	亚洲	印度	India	加尔各答	Kolkata	22.56972	88.36972
IN1279233	亚洲	印度	India	艾哈迈达巴德	Ahmedabad	23.033333	72.61667
IN1279344	亚洲	印度	India	阿迪拉巴德	Adilabad	19.66667	78.53333
IN1279290	亚洲	印度	India	阿加尔塔拉	Agartala	23.83639	91.275
IN1279259	亚洲	印度	India	阿格拉	Agra	27.183332	78.01667
IN1487002	亚洲	印度	India	阿默达巴德	Ahmadabad	23.1	72.6
IN1279228	亚洲	印度	India	艾迈德纳格	Ahmadnagar	19.08333	74.73333
IN1279159	亚洲	印度	India	阿杰梅尔	Ajmer	26.45	74.63333
IN1279105	亚洲	印度	India	阿克拉	Akola	20.73333	77
IN1279017	亚洲	印度	India	阿里格尔	Aligarh	27.88333	78.08333
IN1278946	亚洲	印度	India	阿尔瓦尔	Alwar	27.56667	76.6
IN1278860	亚洲	印度	India	安巴拉	Ambala	30.37833	76.78083
IN1278715	亚洲	印度	India	安雷利	Amreli	21.61667	71.23333
IN1278710	亚洲	印度	India	阿姆利则	Amritsar	31.63306	74.86556
IN1487003	亚洲	印度	India	安德罗特	Androth	10.8	74
IN1278593	亚洲	印度	India	安古尔	Angul	20.85	85.1
IN1278510	亚洲	印度	India	阿奴普加	Anupgarh	29.19111	73.20861
IN1278405	亚洲	印度	India	阿立亚鲁	Ariyalur	11.13333	79.08333
IN1487004	亚洲	印度	India	阿拉	Arrah	25.6	84.7
IN1278149	亚洲	印度	India	奥兰加巴德	Aurangabad	19.88333	75.33333
IN1278083	亚洲	印度	India	阿扎姆加尔	Azamgarh	26.06	83.18611
IN1487005	亚洲	印度	India	巴加尔科特	Bagalkote	16.7	75.8
IN1487006	亚洲	印度	India	贝拉迪拉	Bailadila	18.6	81.2
IN1277599	亚洲	印度	India	巴拉索尔	Balasore	21.49417	86.93167
IN1487007	亚洲	印度	India	巴利亚	Ballia	25.8	84.2
IN1277508	亚洲	印度	India	巴卢尔卡德	Balurghat	25.21667	88.76667
IN1277397	亚洲	印度	India	班达	Banda	25.48333	80.33333
IN1277333	亚洲	印度	India	班加罗尔	Bangalore	12.97623	77.60329
IN1277297	亚洲	印度	India	伯尼哈尔	Banihal	33.41667	75.2
IN1277264	亚洲	印度	India	班库拉	Bankura	23.25	87.06667
IN1277214	亚洲	印度	India	班斯瓦拉	Banswara	23.55	74.45
IN1277013	亚洲	印度	India	巴瑞利	Bareilly	28.35	79.41667
IN1276901	亚洲	印度	India	巴尔梅尔	Barmer	25.75	71.38333
IN1487008	亚洲	印度	India	伯西尔哈德	Basirhat	22.6	88.9
IN1276736	亚洲	印度	India	伯斯蒂	Basti	26.8	82.71667
IN1276533	亚洲	印度	India	贝尔高姆	Belgaum	15.86667	74.5
IN1276509	亚洲	印度	India	贝拉里	Bellary	15.15	76.93333
IN1487009	亚洲	印度	India	柏蓝波	Berhampore	24.1	88.3
IN1276389	亚洲	印度	India	贝土尔	Betul	21.91528	77.89611
IN1276300	亚洲	印度	India	帕戈尔布尔	Bhagalpur	25.25	87
IN1276128	亚洲	印度	India	巴拉特普尔	Bharatpur	27.216667	77.48333
IN1276070	亚洲	印度	India	珀丁达	Bhatinda	30.2	74.95
IN1487010	亚洲	印度	India	包纳加尔	Bhaunagar	21.8	72.2
IN1275960	亚洲	印度	India	比尔瓦拉	Bhilwara	25.35	74.63333
IN1275926	亚洲	印度	India	平德	Bhind	26.56417	78.78833
IN1487011	亚洲	印度	India	比拉	Bhira	18.5	73.4
IN1487012	亚洲	印度	India	布巴内斯瓦尔	Bhubaneshwar	20.3	85.8
IN1275812	亚洲	印度	India	普杰	Bhuj	23.26667	69.66667
IN1487013	亚洲	印度	India	布恩塔	Bhuntar	31.8	77.2
IN1275738	亚洲	印度	India	比德尔	Bidar	17.9	77.55
IN1275701	亚洲	印度	India	比贾布尔	Bijapur	16.83333	75.7
IN1275665	亚洲	印度	India	比卡内尔	Bikaner	28.01667	73.3
IN1275637	亚洲	印度	India	比拉斯布尔	Bilaspur	22.08333	82.15
IN1487014	亚洲	印度	India	比尔	Bir	19	75.7
IN1275103	亚洲	印度	India	本迪	Bundi	25.44167	75.64167
IN1487015	亚洲	印度	India	柏德旺	Burdwan	23.2	87.9
IN1274984	亚洲	印度	India	甘宁	Canning	22.31889	88.67139
IN1274837	亚洲	印度	India	占城	Champa	22.05	82.65
IN1274746	亚洲	印度	India	昌迪加尔	Chandigarh	30.7343	76.7933
IN1274693	亚洲	印度	India	钱德拉布尔	Chandrapur	19.95	79.3
IN1274406	亚洲	印度	India	乞拉朋齐	Cherrapunji	25.3	91.7
IN1274304	亚洲	印度	India	清德瓦拉	Chhindwara	22.06667	78.93333
IN1487016	亚洲	印度	India	奇克马加卢尔	Chickmagalur	13.2	75.8
IN1274129	亚洲	印度	India	钦塔马尼	Chintamani	13.4	78.06667
IN1274056	亚洲	印度	India	奇特拉达加	Chitradurga	14.23333	76.4
IN1487017	亚洲	印度	India	奇特多咖	Chittorgarh	24.9	74.6
IN1273865	亚洲	印度	India	哥印拜陀市	Coimbatore	11	76.96667
IN1487018	亚洲	印度	India	康纳	Conoor	11.4	76.8
IN1273802	亚洲	印度	India	古德洛尔	Cuddalore	11.75	79.75
IN1273800	亚洲	印度	India	古德伯	Cuddapah	14.46667	78.81667
IN1273780	亚洲	印度	India	克塔克	Cuttack	20.46497	85.87927
IN1273648	亚洲	印度	India	达尔胡西	Dalhousie	32.53333	75.98333
IN1487019	亚洲	印度	India	达顿干吉	Daltonganj	24	84.1
IN1273587	亚洲	印度	India	达摩	Damoh	23.83333	79.45
IN1273491	亚洲	印度	India	达尔班加	Darbhanga	26.16667	85.9
IN1487020	亚洲	印度	India	大吉岭	Darjeeling	27	88.3
IN1487021	亚洲	印度	India	迪萨	Deesa	24.2	72.2
IN1487022	亚洲	印度	India	德拉敦	Dehradun	30.3	78
IN1273309	亚洲	印度	India	代赫里	Dehri	24.86667	84.18333
IN1272979	亚洲	印度	India	丹巴德	Dhanbad	23.8	86.45
IN1272892	亚洲	印度	India	达尔	Dhar	22.6	75.3
IN1272847	亚洲	印度	India	达尔马布里	Dharmapuri	12.13333	78.16667
IN1272832	亚洲	印度	India	达兰萨拉	Dharmsala	32.24194	76.32133
IN1487023	亚洲	印度	India	塔尔瓦德	Dharwad	15.5	75
IN1487024	亚洲	印度	India	多尔浦	Dholpur	26.7	77.8
IN1487025	亚洲	印度	India	杜布里	Dhubri	26	90
IN1272625	亚洲	印度	India	迪格哈	Digha	21.68333	87.55
IN1272502	亚洲	印度	India	第乌	Diu	20.714052	70.98224
IN1487027	亚洲	印度	India	都哈	Dohad	22.8	74.3
IN1272237	亚洲	印度	India	杜姆卡	Dumka	24.26667	87.25
IN1272201	亚洲	印度	India	栋格尔布尔	Dungarpur	23.83333	73.71667
IN1272181	亚洲	印度	India	杜尔格	Durg	21.18333	81.28333
IN1272140	亚洲	印度	India	德瓦尔卡	Dwarka	22.23944	68.96778
IN1271987	亚洲	印度	India	埃塔瓦	Etawah	26.7769	79.0239
IN1271976	亚洲	印度	India	法扎巴德	Faizabad	26.78333	82.13333
IN1271850	亚洲	印度	India	加达格	Gadag	15.41667	75.61667
IN1271715	亚洲	印度	India	甘地讷格尔	Gandhinagar	23.21667	72.68333
IN1271631	亚洲	印度	India	甘托克	Gangtok	27.33333	88.61667
IN1271439	亚洲	印度	India	伽耶	Gaya	24.783333	85
IN1271306	亚洲	印度	India	加济布尔	Ghazipur	25.58333	83.56667
IN1271050	亚洲	印度	India	哥拉加特	Golaghat	26.51667	93.96667
IN1270996	亚洲	印度	India	贡达	Gonda	27.13333	81.93333
IN1270990	亚洲	印度	India	冈迪亚	Gondia	21.45	80.2
IN1270961	亚洲	印度	India	戈巴尔布尔	Gopalpur	19.26667	84.91667
IN1270926	亚洲	印度	India	戈勒克布尔	Gorakhpur	26.75	83.37
IN1270752	亚洲	印度	India	古尔伯加	Gulbarga	17.33333	76.83333
IN1487028	亚洲	印度	India	贡马	Gulmarg	34	74.4
IN1270711	亚洲	印度	India	库拿	Guna	24.65	77.31667
IN1270642	亚洲	印度	India	古尔冈	Gurgaon	28.466667	77.03333
IN1271476	亚洲	印度	India	古瓦哈蒂	Guwahati	26.18617	91.75095
IN1270583	亚洲	印度	India	瓜廖尔	Gwalior	26.22361	78.17917
IN1270543	亚洲	印度	India	哈佛隆	Haflong	25.18333	93.03333
IN1344377	亚洲	印度	India	霍尔迪亚	Haldia	22.06046	88.10975
IN1270370	亚洲	印度	India	哈多伊	Hardoi	27.416668	80.11667
IN1270304	亚洲	印度	India	赫尔奈	Harnai	17.8	73.1
IN1270239	亚洲	印度	India	哈桑	Hassan	13.00056	76.09944
IN1487029	亚洲	印度	India	赫札里巴克	Hazaribagh	24	85.4
IN1487030	亚洲	印度	India	希萨尔	Hissar	29.2	75.7
IN1269976	亚洲	印度	India	霍纳沃尔	Honavar	14.28333	74.45
IN1269939	亚洲	印度	India	霍申加巴德	Hoshangabad	22.75	77.71667
IN1487031	亚洲	印度	India	伊达尔	Idar	23.8	73
IN1269743	亚洲	印度	India	印多尔	Indore	22.71792	75.8333
IN1269633	亚洲	印度	India	贾巴尔普尔	Jabalpur	23.16697	79.95006
IN1269578	亚洲	印度	India	杰格德尔布尔	Jagdalpur	19.06667	82.03333
IN1269507	亚洲	印度	India	斋沙默尔	Jaisalmer	26.914684	70.918076
IN1269410	亚洲	印度	India	贾尔冈	Jalgaon	21.05	75.57
IN1487032	亚洲	印度	India	贾洛尔	Jalore	25.4	72.6
IN1269388	亚洲	印度	India	杰尔拜古里	Jalpaiguri	26.51667	88.73333
IN1269321	亚洲	印度	India	查谟	Jammu	32.73333	74.86667
IN1269317	亚洲	印度	India	贾姆讷格尔	Jamnagar	22.46667	70.06667
IN1269300	亚洲	印度	India	詹谢普尔	Jamshedpur	22.8	86.18333
IN1269291	亚洲	印度	India	加木伊	Jamui	24.91667	86.21667
IN1269177	亚洲	印度	India	加什普纳加	Jashpurnagar	22.9	84.15
IN1269027	亚洲	印度	India	贾拉瓦尔	Jhalawar	24.6	76.15
IN1269006	亚洲	印度	India	占夕	Jhansi	25.43333	78.58333
IN1268865	亚洲	印度	India	焦特布尔	Jodhpur	26.286667	73.03
IN1268622	亚洲	印度	India	凯拉沙哈尔	Kailashahar	24.33333	92.01667
IN1268561	亚洲	印度	India	卡基纳达	Kakinada	16.93333	82.21667
IN1487033	亚洲	印度	India	卡林朋	Kalimpong	27.1	88.5
IN1268008	亚洲	印度	India	根尼亚古马里	Kanniyakumari	8.08333	77.56667
IN1267995	亚洲	印度	India	坎普尔	Kanpur	26.466667	80.35
IN1267887	亚洲	印度	India	卡来卡	Karaikal	10.91667	79.83333
IN1267708	亚洲	印度	India	卡纳尔	Karnal	29.68333	76.98333
IN1267635	亚洲	印度	India	卡沃	Karwar	14.8	74.13333
IN1267394	亚洲	印度	India	卡瓦利	Kavali	14.91667	79.98333
IN1267227	亚洲	印度	India	克肖德	Keshod	21.3	70.25
IN1267154	亚洲	印度	India	克久拉霍	Khajuraho	24.85	79.933334
IN1267076	亚洲	印度	India	坎曼	Khammam	17.25	80.15
IN1267031	亚洲	印度	India	肯德瓦	Khandwa	21.83333	76.33333
IN1266425	亚洲	印度	India	科代卡那	Kodaikanal	10.23333	77.48333
IN1266366	亚洲	印度	India	科希马	Kohima	25.66667	94.11667
IN1266285	亚洲	印度	India	戈尔哈布尔	Kolhapur	16.7	74.21667
IN1487034	亚洲	印度	India	孔杜尔岛	Kondul	7.2	93.7
IN1266128	亚洲	印度	India	科拉普特	Koraput	18.81667	82.71667
IN1265911	亚洲	印度	India	科塔亚姆	Kottayam	9.58333	76.51667
IN1487035	亚洲	印度	India	科泽科德	Kozhikode	11.3	75.8
IN1487036	亚洲	印度	India	卡努尔	Kurnool	15.8	78.1
IN1487037	亚洲	印度	India	长岛	Long Island	12.4	92.9
IN1264733	亚洲	印度	India	勒克瑙	Lucknow	26.85	80.916664
IN1264728	亚洲	印度	India	卢迪亚纳	Ludhiana	30.9	75.85
IN1264521	亚洲	印度	India	马杜赖	Madurai	9.93333	78.11667
IN1487038	亚洲	印度	India	马湖华	Mahuva	21.1	71.8
IN1264292	亚洲	印度	India	曼普里	Mainpuri	27.23333	79.01667
IN1487039	亚洲	印度	India	马尔达	Malda	25	88.1
IN1264115	亚洲	印度	India	马勒冈	Malegaon	20.55	74.53333
IN1487040	亚洲	印度	India	马那	Mana	21.2	81.7
IN1263862	亚洲	印度	India	大集市	Mandi	31.71667	76.91667
IN1263852	亚洲	印度	India	曼德拉	Mandla	22.6	80.38333
IN1263814	亚洲	印度	India	曼迪亚	Mandya	12.52417	76.89583
IN1263370	亚洲	印度	India	曼斯仁	Matheran	18.98333	73.26667
IN1263364	亚洲	印度	India	马图拉	Mathura	27.5	77.683334
IN1263230	亚洲	印度	India	梅达克	Medak	18.03333	78.26667
IN1263214	亚洲	印度	India	密鲁特	Meerut	28.98333	77.7
IN1487041	亚洲	印度	India	米德纳普尔	Midnapore	22.4	87.3
IN1487042	亚洲	印度	India	米尼科伊岛	Minicoy	8.3	73.2
IN1262801	亚洲	印度	India	莫拉达巴德	Moradabad	28.83333	78.78333
IN1487043	亚洲	印度	India	莫尔穆冈	Mormugao	15.4	73.8
IN1262710	亚洲	印度	India	莫提哈里	Motihari	26.65	84.91667
IN1487044	亚洲	印度	India	阿布山	Mountabu	24.6	72.7
IN1275339	亚洲	印度	India	孟买	Mumbai	19.01441	72.84794
IN1262374	亚洲	印度	India	慕苏里	Mussoorie	30.45	78.08333
IN1262330	亚洲	印度	India	穆扎法尔布尔	Muzaffarpur	26.11667	85.4
IN1262321	亚洲	印度	India	迈索尔	Mysore	12.30722	76.64972
IN1262260	亚洲	印度	India	纳格伯蒂讷姆	Nagappattinam	10.76667	79.83333
IN1262216	亚洲	印度	India	纳高尔	Nagaur	27.2	73.73333
IN1262151	亚洲	印度	India	纳汉	Nahan	30.55	77.3
IN1487045	亚洲	印度	India	奈尼陶	Nainital	29.4	79.5
IN1262109	亚洲	印度	India	纳吉巴巴德	Najibabad	29.63333	78.33333
IN1262067	亚洲	印度	India	纳尔贡达	Nalgonda	17.05	79.26667
IN1487046	亚洲	印度	India	南考雷	Nancowry	8	93.5
IN1487047	亚洲	印度	India	楠代德	Nanded	19.1	77.3
IN1487048	亚洲	印度	India	纳西克城	Nasik City	20	73.8
IN1261672	亚洲	印度	India	瑙登瓦	Nautanwa	27.43333	83.41667
IN1261529	亚洲	印度	India	内洛尔	Nellore	14.43333	79.96667
IN1487001	亚洲	印度	India	新德里	New Delhi	28.6	77.2
IN1487049	亚洲	印度	India	新坎德拉	Newkandla	23	70.2
IN1487050	亚洲	印度	India	尼默杰	Nimach	24.5	74.9
IN1261257	亚洲	印度	India	尼扎马巴德	Nizamabad	18.67	78.1
IN1261066	亚洲	印度	India	奥卡	Okha	22.46944	69.06056
IN1261045	亚洲	印度	India	翁戈尔	Ongole	15.5	80.05
IN1260728	亚洲	印度	India	伯拉卡德	Palakkad	10.78333	76.65
IN1487051	亚洲	印度	India	班本	Pamban	9.3	79.3
IN1260454	亚洲	印度	India	潘纳	Panna	24.716667	80.2
IN1487052	亚洲	印度	India	巴拉迪布	Paradip	20.3	86.7
IN1260206	亚洲	印度	India	帕西加特	Pasighat	28.06667	95.33333
IN1260107	亚洲	印度	India	帕蒂亚拉	Patiala	30.32667	76.40028
