,sister_comment
96,回复@今天几度丶:我去⊙∀⊙！我当年高考要是有现在一半的悟性，不考哈佛至少也考清华吧 
97,回复@天你好棒:那可以介绍一个yu朋友吗 
98,回复@Gentlelababy:我猜你对此…… 
99,回复@慢慢蓝林: 
100,回复@红烧小鸡仔: 
101,回复@蓝色Mia爷:哈哈哈哈哈哈哈哈哈哈哈哈，我这不让你看看嘛 
102,回复@刘三吉_: 
103,回复@ZhJIaY-:艾特我这个有啥用！！！！！！！ 
104,回复@叫咩咩也叫嘻嘻喔:笑死 
105,回复@Redaiimancy:笑屁屁 
106,回复@圆不溜銶的小可爱:呃(~_~;)不懂(=_=) 
107,回复@芒果你要加油油:牛批 
108,回复@星河739:…… 
109,我来了 
110,回复@沿途风光清清:？？？ 
111,回复@蛋塔_Laughing:想多了你 
112,@属于你的夜梦 我笑死 
113,回复@戳爷爷:你这是在暗示点啥 
114,每日一转！ 
115,回复@LYardQ:哼 
116,回复 @JC陳培毅:可惜没拿到 
117,回复@biubiupiapiabiupiabiu:咳咳咳 
118,回复@老乡鸡:哈哈哈哈哈哈哈哈哈哈哈哈 
119,回复 @Ankrrr: 
120,回复@酸酸糖霜霜: 
121,回复@你们都把我的昵称用了让我用啥:意思是 等那啥完了再出门？ 
122,回复@無悠坞:滚 
123,回复@阿花的微博哦:？？？你在暗示我 
124,回复@拔牙是暴力美学与行为艺术:什么广告超乎你的想象。 
125,回复@招财鱼YY:宝贝 
126,我从来没想到你这个文案竟然热搜了，厉害了 
127,回复@我要在微博上驰骋:big胆 
128,回复@bduehvegxjsks:我不用套的嗷 
129,回复@清蒸木头鱼: 
130,回复@w爱吃菜:好像 看明白了。 
131,回复@撒哈拉沙拉酱:杜蕾斯文案真厉害 
132,回复@我绝对可爱:卖杜蕾斯的你干什么，你觉得我需要么 
133,回复@微博抽奖平台:我的实力不需要延时 
134,回复@可得好好想想喔:6 
135,回复@微博抽奖平台:@眼间慕色 怪我看到的太晚 
136,回复@今天不熬夜了啊啊啊:持久的意思 
137,回复@Thmily-: 
138,我来关注你是为了学文案。真的。真的真的真的 
139,咦，谁中了 
140,99盒晚上拿的，人是第二天早上走的 
141,回复@有啤酒肚的姐姐:我刚看到 
142,回复@ieopsle:？？？ 
143,回复@Layla是只小兔子:弟弟的意思 
144,回复@And璇3:🙈 
145,回复@-胡椒妹妹:我刷到了哈哈哈哈 
146,回复@村口染个头:咦，我的表情包呢？ 
147,回复@村口染个头:图片评论 ¡评论配图 
148,回复@你的小品品:给我买几盒 
149,回复@KiKiJiQi:可惜 
150,回复@KiKiJiQi:可以我们不能进行 
151,回复@mi5sA:牛皮皮，我分析了一会儿终于明白了 
152,回复@diao妹:牛皮，我现在才看到 
153,笑死 
154,回复@-涵仙:呃 
155,回复@m没有岁月可回头y:公布了已经 
156,回复@微博抽奖平台:主要是想见见避孕套长什么样，哈哈哈哈哈，我需要，抽我抽我 
157,回复@cathy爱吃糖醋鱼:公布了没 
158,回复@微博抽奖平台:恭喜这个* 
159,回复@来找老婆的石小朋友:安排👌 
160,没中奖，以后再也不用了，再见！ 
161,回复@余馨小姐:牛逼，99盒送一个人 
162,回复@sayonara1988:🙈🙈🙈 
163,回复@网黄杨小肌:我这都飙到七十迈了，安全带都没系好？？ 
164,回复@___-Moment:哈哈哈 
165,回复@Organic桑塔纳:开车？？ 
166,回复@唐潮峰:秀兒 
167,回复@瘦肉干拌面:老司机也不知道 
168,回复@白喵幺:我努力用完 
169,回复@UrThirsty:开奖了xsl 
170,回复@你是绿里透着蓝吗:已经开奖了老婆 
171,回复@吃肉不长胖的俊俊:想你啦 
172,回复@微博抽奖平台:你知道不知道中奖这个姐妹快疯了 
173,回复@小刘不知叫啥网名:绝，织女真幸福 
174,回复@冯梁_:哈哈哈哈哈哈 
175,回复@和白敬亭啵啵:牛逼牛逼！ 
176,回复@Kobe甘露:666啊，它家的文案我一直很服 
177,回复@羅小姐Jenny:哈哈哈哈 
178,回复@倪崽儿:哈哈哈哈哈哈哈哈哈哈哈哈草 
179,回复@你最好是真的:我哭 我没有！！！ 
180,//@杜蕾斯官方微博: 看到大家这么热情，杜杜要来宠粉了，转发并关注杜杜，杜杜抽一个幸运鹅送出99盒延时装嗷！！！ 
181,回复@月亮上的垂耳兔10:久一点 
182,竟然不是我，我哭了T﹏T 
183,回复@我没有会员不可以随便改名字:还不够久？ 
184,啊啊啊啊我没中奖 
185,我不信了黑 
186,我又来了 
187,回复@微博抽奖平台:到点了到点了！ 
188,回复@微博抽奖平台:会是我吗？ 
189,哈哈哈再走一波 
190,niub 
191,回复@微博抽奖平台:激动 
192,最后两分钟 
193,回复@微博抽奖平台:快开奖了我再来蹭蹭 
194,期待 
195,虽然我没有，但是还是想转一转 
196,回复@微博抽奖平台:快开奖了好紧张 
197,我要！ 
198,要是中了 会不会上热搜 
199,再一次 
200,还有20分钟就要开奖了 希望不要辜负我的姐妹们！ 
201, 
202,孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤 
203,我哭了   快中奖吧！！！！！！！！ 
204,我我我我！！！！！！！！！！！！！ 
205,倒计时25分钟 
206,好激动啊 
207,全网属你最皮，最牛文案，没有之一 
208,回复@微博抽奖平台:谁会是那个幸运儿？ 
209, 
210,早晚会用上的 
211, 
212,来抽我吧 
213,回复@步海SauvignonBlanc:哈哈哈哈哈哈太可爱了吧！！！ 
214,再转一下 
215,来了来了 
216,回复@杜蕾斯官方微博:真的这么奶死嘛。 
217,奇奇怪怪 
218,我觉得我行 
219,回复@微博抽奖平台:？ 
220,回复@微博抽奖平台:没有xsh我也想中奖 
221,我来等开奖了 
222,回复@不会卖萌是什么勇气来让你玩微博:怎么用，跟谁用 
223,我懂了 
224,冲！！！ 
225,一年杜一次，一次杜一年 
226,回复@微博抽奖平台:哇  激动 
227,我就想看看是谁 
228,再来一次 为了朋友 
229,来啦 
230,中了我就要谢谢谢谢你 
231,回复@杜蕾斯官方微博:嘿嘿 
232,回复@微博抽奖平台:让我看看是哪个幸运儿 
233,6666 
234,说实话我挺想要的 
235,所以中了有啥用呢) 
236,回复@薇薇一笑很倾城Vivan:刚看着是不是晚了→_→ 
237,回复@微博抽奖平台:为什么不抽99个人 一人一盒哇 
238,回复@微博抽奖平台:都给我吧 
239,回复@微博抽奖平台:记得抽我 谢谢 会爱你的 
240, 
241,回复@阿什么聪24:准备去杜蕾斯上班嘛 
242,文案这方面没服过谁 就服你 
243,如果抽到我了怎么办 
244,又想中奖，又怕中奖 
245,回复@微博抽奖平台:许愿许愿 
246,回复@超流量花花:我谢谢您 
247,不愧是百万文案设计师， 
248,回复@微博抽奖平台:请安排一下 
249,回复@微博抽奖平台:摆脱摆脱🙏 
250,回复@乌拉辣啦小叶:那天看到了哈哈哈 
251,来啦 
252,回复@微博抽奖平台:莫名期待 
253,下午就要开奖了  多转几次 
254,一年一杜，一杜n年用不上 
255,马上要开奖了，刺激  请熟人忽略我这条“致富”博 
256,回复@微博抽奖平台:选我吧选我吧 
257,一份大礼 
258, 
259,回复@微博抽奖平台:让我中 
260,再转一遍希望中奖虽然我也不知道中了奖干啥 
261,回复@微博抽奖平台:让我中吧 
262,回复@微博抽奖平台:虽然这是个有点不好意思的事，但是我也想中。主要从来没见过这么多 
263,我觉得我可以 
264,看看我啊啊啊啊啊啊啊啊 
265, 
266,冲！！！！！ 
267,回复@微博抽奖平台:我太想要了 
268,回复@淘宝:@每天吸猫猫真快乐耶 笑死 
269,转发微博 
270,抽我，杜杜 
271,来了 
272,回复@很sadverysad:hhhhhhhh卧槽 
273,四川人秒懂 
274,阿巴阿巴 
275,回复@喜鹊先生:🐮 
276,回复@微博抽奖平台:今天我能中吗 
277,回复@唐甜恬185:哈哈哈哈哈哈哈对！ 
278,回复@绕银河走:？抽到和谁用？ 
279,99盒能用多久 
280,回复@多喝热水忌辛辣:你好 颂我一盒 
281,回复@微博抽奖平台:给我 !!!我要干到天荒地老 
282,回复@微博抽奖平台:等开奖快快来 
283,//@淘宝:孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡孤寡 
284,回复@血风注泊:挨打 
285,再转一次，中的是啥不重要，主要就是想当锦鲤 
286,回复@微博抽奖平台:给我 
287,回复@微博抽奖平台:说不定就中了 
288,回复@GOOG_sexy:哈哈哈哈哈哈哈哈哈哈哈哈 
289,回复@微博抽奖平台:我要 
290,让我来吧 一天用一盒 三个月就用完了 
291,坐等中奖，虽然和杨杨用不上 
292,回复@微博抽奖平台:快开奖了，期待 
293,冲冲冲！ 
294,回复@瑾色残年5956 的表态:我是火了吗？ 
295,回复@sophia行吗:不错 
296,冒si转发 @地王楼花 
297,期待开奖 
298,鹊鹊可能受不了 
299,再来转发一下 
300,原来是这条啊 
301,回复@nuo哥儿:久一点 
302,回复@微博抽奖平台:冲冲冲！ 
303,@废材代表人 
304,回复@明天就别熬夜啦:绝了 
305,回复@明天就别熬夜啦:这有啥 
306,转发微博 
307,中到了分一部分给有对象的朋友99盒怕是保质期内用不完哦 
308,回复@微博抽奖平台:冲一冲！ 
309,回复@zZHelen:这文案 ~ 啧啧啧 
310,这文案 ~  啧啧啧 
311,口 
312,孤寡孤寡 
313,回复@杜蕾斯官方微博:99？？？ 
314,回复@这名字真奇葩: 
315,哈哈哈哈哈哈 
316,回复@微博抽奖平台:抽我啊！是s就抽我 
317,回复@Hueeeee_:不要 
318,回复@微博抽奖平台:我才刚成年 这对我来说是不是太色情了 
319,必须是我 
320,来了 
321,从来没有在微博中过奖，单纯的想试试运气 
322,靴靴没钱买杜了，我会成为杜选之子吗 
323,回复@微博抽奖平台:中奖名单希望有我 
324,我关注你的原因是收集段子 
325,回复@杜蕾斯官方微博:又跑来看看我中奖了吗 
326,文案鬼才 
327,回复@青蛙王子官方微博:哈哈哈哈哈哈哈哈哈哈哈哈 
328,回复@野生玫瑰·:买给你 ¡评论配图 
329,回复@求求您去学习:来 
330,回复@微博抽奖平台:选我选我选我🙋🙋🙋🙋 
331,回复@Oh_爱吃的小杨杨:哈哈哈牛批 
332,回复@CRISTIANO-DREAM:还有个词，叫 鸡菇儿 
333,回复@崔胜铉的时光机:哈哈哈哈哈哈哈 
334,回复@偷偷捏你耳朵:？？？我不够持久吗 
335,题姐妹再转一次 
336, 
337,我要锦鲤附身 
338,啊啊啊啊啊 
339,回复@想变超级富:该死 
340,Md就要开奖了，我好激动，虽然没有男朋友 
341,回复@挚Dan爱:转了就是你中奖 
342,回复@艾玛我要匿名:悄悄，是别离的笙箫 
343,回复@谁是谁的我和你:你真的够了哈哈哈我还没反应过来这是什么官方 
344,为姐妹谋幸福 要是我就绝了 
345,回复@微博抽奖平台:就是想要，没见过 
346,回复@-芒果味的雪糕:以后我们也这样吗 
347,回复@不进前百名就不叫小空深鱼记:毒瓦斯哈哈哈哈哈哈哈哈哈哈哈 
348,回复@SHAOLIN--:一年一杜，晚点结束。真的绝 
349,回复@一念山河成15:啥子一开始 
350,回复@野生玫瑰·:哈哈，等你好消息 
351,回复@二肋骨G:久一点 
352,回复@麻辣小胖达:不！必定要中 
353,回复@明天就别熬夜啦:嘿嘿 
354,噗哈哈哈哈哈哈哈！ 
355,回复@董晨沛Amber-:杜蕾斯文案一直很牛的 
356,回复@平时多吃水果:从一开始就是 
357,重在参与◉‿◉ 
358,回复@脑容量只够记吃饭:一夜一次郎，一次一夜郎还不够吗 
359,回复@野生玫瑰·:没中 
360,让我中吧！我已经跟姐妹们说我中了给她们一人分一个 
361,今天中了吗 
362,哒 
363,回复@夜袭半云:我就单纯觉得，挺有文化的 
364,回复@傻啦吧唧的熊大:请问你和谁一起用？ 
365,能不能让人家中一次啊 
366,笑死我了用到猴年马月 
367,嘿嘿 
368,回复@余悸Echoooooo:缺你 
369,回复@微博抽奖平台:原来真的送 
370,回复@微博抽奖平台:让我们先恭喜这位中奖的朋友杜选之子 
371,绝了 
372,延时装？啥意思   
373,回复@淘宝:在一起 锁死🔒 
374,叽叽喳喳🦜拒绝孤寡 
375,回复@杜蕾斯官方微博:杜选之子 
376,回复@微博抽奖平台:我就是杜选之子 
377,回复@_阿董正传:等你一起用 
378,回复@人间星火12138:是不是有病 
379,回复@七小馆儿_:老婆我爱你 
380,轉發微博 
381,再转一遍，今天上广告课又看到小杜了 
382,一盒多少只先？保质期五年，一年用20盒，也就是用200只，365天用掉200只。坚持五年哈！ 
383,回复@哎跑堂的:得用多久？ 
384,回复@微博抽奖平台:中了分给姐妹们！@eqxn啊 
385,回复@可乐瓶还要吗:我不是重庆人鸭？ 
386,快点让我中奖吧  
387,我的十一个朋友都在期待这99盒 
388,回复@微博抽奖平台:每天都来看下。我中奖了吗 
389,我要最大号的。 
390,回复@微博抽奖平台:我要是中了就低价卖给各位集美吧 
391,回复@米哈辛格:去年囤的还剩一堆 
392,回复@Lynette_hl:你也关注啦 
393,杜选之子 
394,回复@情圣场扛把子_: 
395,杜选之子会是我吗？我这号忘了现在才来呜呜呜 
396,回复@Zoannnn:所以，最后，等的久吗 
397,回复@EvelynNn0:学到了吗 
398,回复@雨里吃面不要喝汤:你好优秀 
399,回复@Unicassie:揪眯啥意思？ 
400,回复@刘大黑lzx:🙄 
401,弱弱的问一句，保质期多久！ 
402,回复@不愿意透露名字的嘟嘟:这不是要用好久好久了 
403,回复@你说我是小zhuozhuo:给你看个宝贝 
404,回复@你说我是小zhuozhuo:你快过来 
405,回复@今天不生气咯:我才看到 还晚吗 
406,噢！ 
407,回复@jffcyesgjkb:你又懂了老懂姐了 
408,来冲一冲啦！！！ 
409,没有男朋友我也要哈哈哈哈哈！//@杜蕾斯官方微博:看到大家这么热情，杜杜要来宠粉了，转发并关注杜杜，杜杜抽一个幸运鹅送出99盒持久装嗷！！！ 
410,来得及吗 
411,回复@微博抽奖平台:恭喜这人的女友，真是享福了 
412,回复@微博抽奖平台:我中了包邮寄给你们吧 
413,回复@Wenjiers:🔨就是给你看个文案 
414,回复@大西洋起航:？与我何关 
415,是我吗是我吗 是我要用到天荒地老了嘛 
416,这仪式感很足 
417,回复@名岳有主:？ 
418,用一辈子 
419,回复@微博抽奖平台:😂 
420,这是萌人 
421,回复@阿天不黑:@德云社张宇航  
422,回复@来福又被打啦:因为你只能自我消遣，那我只能觉得你不行啦 
423,就看看 
424,转！真正的勇者敢于面对风暴 
425,回复@jffcyesgjkb:你怎么知道👴不行? 
426,111 
427,卧槽！！！！！！ 
428,回复@来福又被打啦:试？你不是不行吗？ 
429,给力 
430,回复@Organic桑塔纳:说啥玩意儿呢这是 
431,回复@苑留白:牛逼了拉屎 
432,明天是我生日 
433,回复@四脚吞金兽在干嘛:天哪，我错过了99盒。。。。 
434,回复@YjzYYYYYYYYY:你看看 
435,回复@YjzYYYYYYYYY:我谢谢你 
436,@EvelynNn0 @Zoannnn 
437,回复@要努力当老干部:分我一半 
438,回复@要努力当老干部:可以有 
439,回复@小乖听主人的话:是我没错了 
440,回复@Cuuuz_Yee:嗯？嗯？嗯？ 
441,回复@许思瑜Sinsoledad-:我来吧 
442,回复@微博抽奖平台:抽我我也搞个抽奖 
443,回复@藏剑梁朝伟: 
444,回复@鹅鹅本鹅:这个广告植入得有水平 
445,回复@微博抽奖平台:我来了虽然我没有男朋友 
446,够用10年的了 
447,哈哈哈哈哈哈哈哈哈哈哈哈哈我透 
448,不晚 
449,回复@jokeryulu:你想干啥 
450,回复@单嘉树:啊这… 
451,回复@正义冬:涉黄广告呢 
452, 
453,回复@Healer椰: 
454,回复@yevtte呀:？ 
455,回复@于鱼与羡鱼:哈哈哈哈哈 
456,回复@微博抽奖平台:虽然我用不着，我想卖了应该也有不少钱吧 
457,回复@啊啊啊啊gdgwpdgw:进进出出的说你爱我 
458,🐮🐮🐮 
459,回复@高捷GaoGao:准确的来说云贵川重庆还有湖北都是这个口音。 
460,回复@Yiangdu:还以为从小看到大 
461,回复@单嘉树:本湖北人真的是从小听到大。 
462,回复@游曳由也:苹果主要是广告视频做得好。 
463,回复@方老师Mr:NoNoNo湖北和重庆都是这样的。 
464,回复@很不好惹-:不明白呢 
465,回复@CRISTIANO-DREAM:全湖北也是这样的。🙊 
466,回复@蠕蠕蠕啊蠕蠕啊蠕蠕来蠕去:湖北武汉人也是哦。 
467,回复@为啥子喝水也长胖:其实整个湖北都是这样的。 
468,回复@经常吃土的阿土啊:坐标，湖北武汉老家在武汉周边我们这里也是这样说的。 
469,回复@Nikray:卧槽🤓 
470,快点让我中奖吧！！ 
471,回复@微博抽奖平台:我要中了，会不会上热搜 
472,回复@青山且青:够了够了 
473,回复@大齡自閉青年:哈哈哈哈哈哈哈哈 
474,回复@大齡自閉青年:成会了 
475,回复@_黑侠:今年文案怎么感觉变差了 
476,回复@我不叫鹿栀i:这个文案也满分 
477,回复@我不叫鹿栀i:我的天啊哈哈哈哈哈哈哈我才看见 
478,回复@一美丽马:99个怕是不够吧 
479,回复@咸咸魚不盐:现在网友都这样直接吗 
480,搅和搅和 
481,回复@鲤鳍:给你囤 
482,回复@桐昼:但我觉得你不用延时 
483,回复@微儿爸:这都看不懂 
484,我先转 
485,看看我是不是分母 
486,@HYPNITIZEDz 99盒 
487,@HYPNITIZEDz 你不转一个？ 
488,回复@良矢不予: 
489,这我得证明自己能力了 
490,回复@杜蕾斯官方微博:他们不敢转我先转为敬 
491,中了送给我的朋友们 抬头做人吧都 
492,今天中了吗 
493,回复@十块糖:你是不是被圈粉了 
494,那啥  我就随便转转  大家就当没看见奥 
495,不知道已经抽奖了没有？ 
496,@llee0ll 给👴转 转完一年都不要买了 
497,回复@筠姈:🙃残忍 
498,回复@微博抽奖平台:凑合够用一年吧 
499,回复@微博抽奖平台:想中 和大家分享 
500,回复@ichigo_miumiu:哈哈哈哈哈哈哈哈哈哈哈哈 
501,99盒的加持 
502,回复@怂山派首席:每年这时候的杜蕾斯都会有点忙 
503,虽然中了也用不着，但…… 
504,鹅鹅鹅鹅鹅 
505,回复@月亮上的肥猫猫: 
506,回复@微博抽奖平台:来了来了它来了 
507,抽我吧抽我吧呜呜呜呜呜一直都是用杜蕾斯！！！ 
508,回复@微博抽奖平台:想看哪个是99夜幸运儿 
509,啧啧啧 
510,回复@高醋一点也不冷:这个我也转了哈哈哈不过用不到了 
511,我来辽 
512,试试吧 
513,回复@这个杀手要保护玺子哥:孤寡孤寡 
514,回复@Zoey在亿万年间跨过星河:还好不是我 
515,回复@Zoey在亿万年间跨过星河:这就很惨 
516,回复@元气满满mimosa: 
517,康康是谁 
518,累死的永远是男人@谎言悬- 
519,回复@微博抽奖平台:闷声干大事 
520,回复@Callmebaby小小鹿:残忍 无情！ 
521,可以啦，杜杜 
522,"yes,i 杜 "
523,回复@微博抽奖平台:反正是小号 转一个吧 
524,回复@要香菜好吧:哎呀巧了 
525,回复@微博抽奖平台:抽我吧 球球 
526,让雀雀？ 😂 哈哈哈 可以小杜杜 
527,回复@开开官方可爱_:99盒 
528,怎么说呢，试试运气？？？ 
529,回复@seVen-三只:这个我看到过 当时想@   你来着 
530,哈哈哈哈 
531,杜杜，送99盒 怎么办 
532,@R2dRzd 
533,回复@胡理山90642:哈哈哈哈哈哈哈我快忙死了 
534,回复@阳光明媚好心情嘻:给你安排上👌 
535,回复@微博抽奖平台:我可以用完 抽我抽我 
536,我就说 
537,赶末班车 
538,99盒 
539,回复@微博抽奖平台:男朋友说，能中 
540,99盒 
541,鹊鹊 
542,是我吗是我吗 
543,谢谢，刚好需要//@杜蕾斯官方微博:看到大家这么热情，杜杜要来宠粉了，转发并关注杜杜，杜杜抽一个幸运鹅送出99盒持久装嗷！！！ 
544,回复@__西楼__:布吉岛，你知道 
545,回复@IMScorpios:哈哈哈哈哈哈哈哈哈哈哈哈哈 
546,回复@y凌颜:转发并关注送99盒持久型杜蕾斯 
547,转发微博 
548,回复@绮炜啊:杜蕾斯在我心中已经和你牢牢绑定了 
549,回复@小括号陆:👌 
550,杜选之子（ 
551,回复@Killk11y:99盒哪年能用完 
552,回复@咸鱼小姐oo:？？？ 
553,转发微博 
554,回复@微博抽奖平台:中不中无所谓主要是相当杜选之子 
555,回复@我今天有你和猫了吗:什么鬼！！ 
556, 
557,转发微博 
558,中了也没人一起用 
559,快抽等着用 
560, 
561, 
562,中了我就去表白 
563,回复@念念有词·: 
564,哈哈哈 
565,回复@微博抽奖平台:冲呀冲呀！！！！！ 
566,@萌橙May 笑死我 
567,回复@舒白玫瑰:噗哈哈哈哈 
568,nb 
569,给杜杜一个面子！抽！ 
570,回复@秋秋喜欢吃秋秋糖:中了吗？ 
571,再转一发 
572,我是来看评论的 
573,回复@微博抽奖平台:中！ 
574,回复@微博抽奖平台:冲呀 
575,回复@微博抽奖平台:怎么抽？ 
576, 
577,回复@朵小咩乜:“野生的猪头肉”拍了拍“朵小咩乜” 
578,哈哈哈 
579,回复@陈陈陈陈陈仪群:哈哈哈哈哈哈哈哈哈哈艹 
580,嘿嘿嘿 
581,@纸鸢线断归期远 
582,男朋友说，想试试拆一箱杜蕾斯的感觉~ 
583,回复@道长你可别忘了我来日方长:宝的包里要多备一点TT 
584,回复@彭哒哒_: 
585,@我的萌小敏 你咋不转发 
586,突然，我明白了什么 
587,回复@微博抽奖平台:虽然我单身 但是我还是想中 主要是想看看99盒有多少 
588,回复@BilGhost:哈哈哈哈哈哈哈哈哈卧槽 
589,我要卖掉 
590,回复@Aaprilis_:哈哈哈哈哈哈哈哈哈哈哈哈哈哈真会 
591,回复@Toinplsal: 
592,回复@微博抽奖平台:已经在想怎么用了 
593,回复@肥崽君:好！ 
594,回复@Audrey-苏瑞:看不懂啊 
595,我 
596,回复@孙一咿:i think so 
597,不愧是你 
598,回复@扬扬的summer:99盒真的要用到归西了 
599,回复@海君爱晴儿:持久？ 
600,代入感太强 已经在想什么时候能用完了 
601,回复@谢耳朵78:寡 
602,回复@那一季丶花开花落:老弟你不行啊 
603,回复@我叫喳喳-:？？ 
604,真的有点喜欢这个文艺流氓了 
605,回复@拒絶靠近:噗 
606,回复@微博抽奖平台:哈哈哈 
607, 
608,回复@崔崔崔崔崔人奋进:这个其实我看过了 
609,回复@离殇一曲听花舞丶:你转一个 假如你真的被抽中了  哈哈哈哈哈能尴尬的画条龙  我已经有画面了   ！！！哈哈哈哈哈！ 
610,回复@一城二城杀阡陌:让你的鸡儿放个假 
611,瞧瞧 明天就开奖了呢 搓搓手 
612, 
613,回复@为离谱:I think u so hungry 😋 ¡评论配图 
614,男 
615,吊 
616,无 
617,沛仔请求中奖 冲鸭 
618,二胖请求中奖 冲鸭 
619,回复@Shrimpie_:我日我才看到你个批人 
620,回复@初终八九十:我咋，今天才收到消息？ 
621,回复@2020要好好的哟:哈哈哈  色情 
