"Country Name","Country Code","Region","Income_Group",
"多米尼克","DMA","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"丹麦","DNK","","高收入国家",
"多米尼加共和国","DOM","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"阿尔及利亚","DZA","中东与北非地区（不包括高收入）","中高等收入国家",
"东亚与太平洋地区（不包括高收入）","EAP","","",
"早人口紅利","EAR","","",
"东亚与太平洋地区","EAS","","",
"欧洲与中亚地区（不包括高收入）","ECA","","",
"欧洲与中亚地区","ECS","","",
"厄瓜多尔","ECU","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"阿拉伯埃及共和国","EGY","中东与北非地区（不包括高收入）","中低等收入国家",
"欧洲货币联盟","EMU","","",
"厄立特里亚","ERI","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"西班牙","ESP","","高收入国家",
"爱沙尼亚","EST","","高收入国家",
"埃塞俄比亚","ETH","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"欧洲联盟","EUU","","",
"脆弱和受衝突影響的情況下
","FCS","","",
"芬兰","FIN","","高收入国家",
"斐济","FJI","东亚与太平洋地区（不包括高收入）","中高等收入国家",
"法国","FRA","","高收入国家",
"法罗群岛","FRO","","高收入国家",
"密克罗尼西亚联邦","FSM","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"加蓬","GAB","撒哈拉以南非洲地区（不包括高收入）","中高等收入国家",
"英国","GBR","","高收入国家",
"格鲁吉亚","GEO","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"加纳","GHA","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"直布罗陀","GIB","","高收入国家",
"几内亚","GIN","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"冈比亚","GMB","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"几内亚比绍共和国","GNB","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"赤道几内亚","GNQ","撒哈拉以南非洲地区（不包括高收入）","中高等收入国家",
"希腊","GRC","","高收入国家",
"格林纳达","GRD","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"格陵兰","GRL","","高收入国家",
"危地马拉","GTM","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"关岛","GUM","","高收入国家",
"圭亚那","GUY","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"高收入国家","HIC","","",
"中国香港特别行政区","HKG","","高收入国家",
"洪都拉斯","HND","拉丁美洲与加勒比海地区（不包括高收入）","中低等收入国家",
"重债穷国 (HIPC)","HPC","","",
"克罗地亚","HRV","","高收入国家",
"海地","HTI","拉丁美洲与加勒比海地区（不包括高收入）","低收入国家",
"匈牙利","HUN","","高收入国家",
"只有IBRD","IBD","","",
"IBRD与IDA","IBT","","",
"IDA總","IDA","","",
"IDA混合","IDB","","",
"印度尼西亚","IDN","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"只有IDA","IDX","","",
"马恩岛","IMN","","高收入国家",
"印度","IND","南亚","中低等收入国家",
"未分类国家","INX","","",
"爱尔兰","IRL","","高收入国家",
"伊朗伊斯兰共和国 ","IRN","中东与北非地区（不包括高收入）","中高等收入国家",
"伊拉克","IRQ","中东与北非地区（不包括高收入）","中高等收入国家",
"冰岛","ISL","","高收入国家",
"以色列","ISR","","高收入国家",
"意大利","ITA","","高收入国家",
"牙买加","JAM","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"约旦","JOR","中东与北非地区（不包括高收入）","中高等收入国家",
"日本","JPN","","高收入国家",
"哈萨克斯坦","KAZ","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"肯尼亚","KEN","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"吉尔吉斯斯坦","KGZ","欧洲与中亚地区（不包括高收入）","中低等收入国家",
"柬埔寨","KHM","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"基里巴斯","KIR","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"圣基茨和尼维斯","KNA","","高收入国家",
"大韩民国","KOR","","高收入国家",
"科威特","KWT","","高收入国家",
"拉丁美洲与加勒比海地区（不包括高收入）","LAC","","",
"老挝","LAO","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"黎巴嫩","LBN","中东与北非地区（不包括高收入）","中高等收入国家",
"利比里亚","LBR","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"利比亚","LBY","中东与北非地区（不包括高收入）","中高等收入国家",
"圣卢西亚","LCA","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"拉丁美洲与加勒比海地区","LCN","","",
"最不发达国家：联合国分类","LDC","","",
"低收入国家","LIC","","",
"列支敦士登","LIE","","高收入国家",
"斯里兰卡","LKA","南亚","中高等收入国家",
"中低等收入国家","LMC","","",
"中低收入国家","LMY","","",
"莱索托","LSO","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"後期人口紅利","LTE","","",
"立陶宛","LTU","","高收入国家",
"卢森堡","LUX","","高收入国家",
"拉脱维亚","LVA","","高收入国家",
"中国澳门特别行政区","MAC","","高收入国家",
"圣马丁（法属）","MAF","","高收入国家",
"摩洛哥","MAR","中东与北非地区（不包括高收入）","中低等收入国家",
"摩纳哥","MCO","","高收入国家",
"摩尔多瓦","MDA","欧洲与中亚地区（不包括高收入）","中低等收入国家",
"马达加斯加","MDG","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"马尔代夫","MDV","南亚","中高等收入国家",
"中东与北非地区","MEA","","",
"墨西哥","MEX","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"马绍尔群岛","MHL","东亚与太平洋地区（不包括高收入）","中高等收入国家",
"中等收入国家","MIC","","",
"北马其顿","MKD","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"马里","MLI","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"马耳他","MLT","","高收入国家",
"缅甸","MMR","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"中东与北非地区（不包括高收入）","MNA","","",
"黑山","MNE","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"蒙古","MNG","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"北马里亚纳群岛","MNP","","高收入国家",
"莫桑比克","MOZ","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"毛里塔尼亚","MRT","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"毛里求斯","MUS","撒哈拉以南非洲地区（不包括高收入）","中高等收入国家",
"马拉维","MWI","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"马来西亚","MYS","东亚与太平洋地区（不包括高收入）","中高等收入国家",
"北美","NAC","","",
"纳米比亚","NAM","撒哈拉以南非洲地区（不包括高收入）","中高等收入国家",
"新喀里多尼亚","NCL","","高收入国家",
"尼日尔","NER","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"尼日利亚","NGA","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"尼加拉瓜","NIC","拉丁美洲与加勒比海地区（不包括高收入）","中低等收入国家",
"荷兰","NLD","","高收入国家",
"挪威","NOR","","高收入国家",
"尼泊尔","NPL","南亚","低收入国家",
"瑙魯","NRU","东亚与太平洋地区（不包括高收入）","中高等收入国家",
"新西兰","NZL","","高收入国家",
"经合组织成员","OED","","",
"阿曼","OMN","","高收入国家",
"其他小国","OSS","","",
"巴基斯坦","PAK","南亚","中低等收入国家",
"巴拿马","PAN","","高收入国家",
"秘鲁","PER","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"菲律宾","PHL","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"帕劳","PLW","","高收入国家",
"巴布亚新几内亚","PNG","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"波兰","POL","","高收入国家",
"預人口紅利","PRE","","",
"波多黎各","PRI","","高收入国家",
"朝鲜民主主义人民共和国","PRK","东亚与太平洋地区（不包括高收入）","低收入国家",
"葡萄牙","PRT","","高收入国家",
"巴拉圭","PRY","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"约旦河西岸和加沙","PSE","中东与北非地区（不包括高收入）","中低等收入国家",
"太平洋岛国","PSS","","",
"人口紅利之後","PST","","",
"法属波利尼西亚","PYF","","高收入国家",
"卡塔尔","QAT","","高收入国家",
"罗马尼亚","ROU","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"俄罗斯联邦","RUS","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"卢旺达","RWA","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"南亚","SAS","","",
"沙特阿拉伯","SAU","","高收入国家",
"苏丹","SDN","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"塞内加尔","SEN","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"新加坡","SGP","","高收入国家",
"所罗门群岛","SLB","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"塞拉利昂","SLE","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"萨尔瓦多","SLV","拉丁美洲与加勒比海地区（不包括高收入）","中低等收入国家",
"圣马力诺","SMR","","高收入国家",
"索马里","SOM","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"塞尔维亚","SRB","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"撒哈拉以南非洲地区（不包括高收入）","SSA","","",
"南苏丹","SSD","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"撒哈拉以南非洲地区","SSF","","",
"小国","SST","","",
"圣多美和普林西比","STP","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"苏里南","SUR","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"斯洛伐克共和国","SVK","","高收入国家",
"斯洛文尼亚","SVN","","高收入国家",
"瑞典","SWE","","高收入国家",
"斯威士兰","SWZ","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"圣马丁(荷属)","SXM","","高收入国家",
"塞舌尔","SYC","","高收入国家",
"阿拉伯叙利亚共和国","SYR","中东与北非地区（不包括高收入）","低收入国家",
"特克斯科斯群岛","TCA","","高收入国家",
"乍得","TCD","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"东亚与太平洋地区 (IBRD与IDA)","TEA","","",
"欧洲与中亚地区 (IBRD与IDA)","TEC","","",
"多哥","TGO","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"泰国","THA","东亚与太平洋地区（不包括高收入）","中高等收入国家",
"塔吉克斯坦","TJK","欧洲与中亚地区（不包括高收入）","低收入国家",
"土库曼斯坦","TKM","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"拉丁美洲与加勒比海地区 (IBRD与IDA)","TLA","","",
"东帝汶","TLS","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"中东与北非地区 (IBRD与IDA)","TMN","","",
"汤加","TON","东亚与太平洋地区（不包括高收入）","中高等收入国家",
"南亚 (IBRD与IDA)","TSA","","",
"撒哈拉以南非洲地区 (IBRD与IDA)","TSS","","",
"特立尼达和多巴哥","TTO","","高收入国家",
"突尼斯","TUN","中东与北非地区（不包括高收入）","中低等收入国家",
"土耳其","TUR","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"图瓦卢","TUV","东亚与太平洋地区（不包括高收入）","中高等收入国家",
"坦桑尼亚","TZA","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"乌干达","UGA","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"乌克兰","UKR","欧洲与中亚地区（不包括高收入）","中低等收入国家",
"中高等收入国家","UMC","","",
"乌拉圭","URY","","高收入国家",
"美国","USA","","高收入国家",
"乌兹别克斯坦","UZB","欧洲与中亚地区（不包括高收入）","中低等收入国家",
"圣文森特和格林纳丁斯","VCT","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"委内瑞拉玻利瓦尔共和国","VEN","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"英屬維爾京群島","VGB","","高收入国家",
"美属维京群岛","VIR","","高收入国家",
"越南","VNM","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"瓦努阿图","VUT","东亚与太平洋地区（不包括高收入）","中低等收入国家",
"世界","WLD","","",
"萨摩亚","WSM","东亚与太平洋地区（不包括高收入）","中高等收入国家",
"科索沃","XKX","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"也门共和国","YEM","中东与北非地区（不包括高收入）","低收入国家",
"南非","ZAF","撒哈拉以南非洲地区（不包括高收入）","中高等收入国家",
"赞比亚","ZMB","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"津巴布韦","ZWE","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
